form	lemma	POS	morph
༄༅། །		PUNCT
སྭསྟི་		NON_WORD
།		PUNCT
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཀྱི་	གི་	PART
ཕ་རོལ་	ཕ་རོལ་	NOUN
ཏུ་	ལ་	PART
ཕྱིན་པ་	ཕྱིན་པ་	VERB
ཉམས་	ཉམས་	NOUN
སུ་	ལ་	PART
ལེན་པ་	ལེན་པ་	VERB
འི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
ལམ་	གམ་	PART
ལྔ་	ལྔ་	NUM
གསལ་	གསལ་	VERB
སྒྲོན་	སྒྲོན་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
ཐུབ་དབང་	ཐུབ་དབང་	NOUN
མཆོག་	མཆོག་	ADJ
དང་	དང་	NO_POS
བྱམས་པ་	བྱམས་པ་	PROPN
ཐོགས་མེད་	ཐོགས་མེད་	PROPN
ཞབས་	ཞབས་	NOUN
། །		PUNCT
ཕ་རོལ་	ཕ་རོལ་	NOUN
ཕྱིན་པ་	ཕྱིན་པ་	VERB
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
ལ་	ལ་	PART
། །		PUNCT
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ཚོགས་ལམ་	ཚོགས་ལམ་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
། །		PUNCT
ལམ་	གམ་	PART
ལྔ་	ལྔ་	NUM
ཇི་བཞིན་	ཇི་བཞིན་	OTHER
བསྒོམ་	བསྒོམ་	VERB
ཚུལ་	ཚུལ་	NOUN
བཤད་པ་	བཤད་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
། །		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
དང་པོ་	དང་པོ་	ADJ
ཚོགས་ལམ་	ཚོགས་ལམ་	NOUN
ཀྱི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ལ་	ལ་	PART
དགུ་སྟེ་	དགུ་སྟེ་	NO_POS
།		PUNCT
མོས་གུས་	མོས་གུས་	NOUN
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཁྲི་	ཁྲི་	NUM
དང་	དང་	NO_POS
གཅིག་	གཅིག་	NUM
དཀོན་མཆོག་	དཀོན་མཆོག་	NOUN
སྐྱབས་འགྲོ་	སྐྱབས་འགྲོ་	OTHER
འི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
དང་	དང་	NO_POS
གཉིས་	གཉིས་	NUM
།		PUNCT
བྱམས་	བྱམས་	VERB
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
འི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
དང་	དང་	NO_POS
གསུམ་	གསུམ་	NUM
།		PUNCT
ལྷག་བསམ་	ལྷག་བསམ་	NOUN
སེམས་བསྐྱེད་	སེམས་བསྐྱེད་	NOUN
ཀྱི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
དང་	དང་	NO_POS
བཞི་	བཞི་	NUM
།		PUNCT
མཉམ་བཞག་	མཉམ་བཞག་	NOUN
ལྟ་བ་	ལྟ་བ་	VERB
འི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
དང་	དང་	NO_POS
ལྔ་	ལྔ་	NUM
།		PUNCT
རྗེས་ཐོབ་	རྗེས་ཐོབ་	NOUN
དྲན་ཤེས་	དྲན་ཤེས་	NOUN
ཀྱི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
དང་	དང་	NO_POS
དྲུག་	དྲུག་	NUM
བྱིང་རྒོད་	བྱིང་རྒོད་	NO_POS
སེལ་བ་	སེལ་བ་	VERB
འི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
དང་	དང་	NO_POS
བདུན་	བདུན་	NUM
།		PUNCT
བོགས་	བོགས་	NOUN
འདོན་	འདོན་	VERB
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
དང་	དང་	NO_POS
བརྒྱད་	བརྒྱད་	NUM
།		PUNCT
རྗེས་ཐོབ་	རྗེས་ཐོབ་	NOUN
དྲན་འཛིན་	དྲན་འཛིན་	NO_POS
གྱི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
དང་	དང་	NO_POS
དགུ་	དགུ་	NUM
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
བཞི་	བཞི་	NUM
ནི་	ནི་	NO_POS
རྩིག་པ་	རྩིག་པ་	VERB
འི་	གི་	PART
རྨང་གཞི་	རྨང་གཞི་	OTHER
ལྟ་བུ་	ལྟ་བུ་	NOUN
ཡིན་པ་	ཡིན་པ་	AUX
ས་	གིས་	PART
།		PUNCT
འདི་	འདི་	DET
ལ་	ལ་	PART
གཙོ་བོ་	གཙོ་བོ་	ADJ
ར་	ལ་	PART
སྦྱང་བ་	སྦྱང་བ་	VERB
ར་	ལ་	PART
